town,candidate_number,votes,region_code,candidate,region,link,town_code,votes_percentage
Bagdád,9,9,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=368&xokrsek=53,1000053,41.66
Tel Aviv,6,8,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=376&xokrsek=54,1000054,0.00
Tel Aviv,9,42,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=376&xokrsek=54,1000054,45.65
Tokio,6,14,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=392&xokrsek=55,1000055,20.00
Tokio,9,28,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=392&xokrsek=55,1000055,46.66
Astana,6,4,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=398&xokrsek=56,1000056,66.66
Astana,9,2,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=398&xokrsek=56,1000056,0.00
Ammán,6,5,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=400&xokrsek=57,1000057,0.00
Ammán,9,17,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=400&xokrsek=57,1000057,28.57
Soul,6,2,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=410&xokrsek=58,1000058,33.33
Soul,9,10,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=410&xokrsek=58,1000058,58.33
Pchjongjang,6,0,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=408&xokrsek=59,1000059,0.00
Pchjongjang,9,0,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=408&xokrsek=59,1000059,0.00
Kuvajt,6,9,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=414&xokrsek=60,1000060,26.66
Kuvajt,9,7,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=414&xokrsek=60,1000060,26.66
